,PTS_1H,PTS,HOME,EFG_PCT_RANK_LAST20,FTA_RATE_RANK_LAST20,TOV_PCT_RANK_LAST20,OREB_PCT_RANK_LAST20,OPP_EFG_PCT_RANK_LAST20,OPP_FTA_RATE_RANK_LAST20,OPP_TOV_PCT_RANK_LAST20,OPP_OREB_PCT_RANK_LAST20
0,65.0,123.0,0.0,22.0,15.0,17.0,14.0,30.0,13.0,19.0,16.0
1,64.0,121.0,30.0,24.0,8.0,6.0,7.0,22.0,5.0,8.0,30.0
2,50.0,97.0,0.0,6.0,13.0,9.0,21.0,19.0,29.0,7.0,28.0
3,53.0,104.0,30.0,23.0,5.0,1.0,11.0,2.0,7.0,9.0,8.0
4,52.0,110.0,0.0,1.0,3.0,30.0,22.0,12.0,27.0,14.0,17.0
5,57.0,114.0,30.0,29.0,9.0,13.0,6.0,6.0,9.0,21.0,23.0
6,53.0,101.0,0.0,3.0,12.0,7.0,15.0,21.0,10.0,2.0,27.0
7,59.0,95.0,30.0,26.0,22.0,29.0,24.0,15.0,8.0,15.0,24.0
8,57.0,106.0,0.0,28.0,27.0,18.0,20.0,4.0,11.0,3.0,22.0
9,80.0,147.0,30.0,8.0,21.0,5.0,26.0,11.0,21.0,10.0,25.0
10,58.0,106.0,0.0,27.0,20.0,14.0,19.0,17.0,16.0,4.0,14.0
11,58.0,95.0,30.0,15.0,14.0,8.0,9.0,7.0,4.0,16.0,9.0
12,51.0,112.0,0.0,13.0,10.0,3.0,30.0,3.0,30.0,6.0,1.0
13,57.0,107.0,30.0,7.0,7.0,23.0,12.0,14.0,17.0,26.0,2.0
14,29.0,84.0,0.0,21.0,29.0,20.0,28.0,10.0,18.0,23.0,12.0
15,43.0,97.0,30.0,11.0,30.0,16.0,4.0,29.0,12.0,12.0,3.0
16,63.0,127.0,0.0,16.0,16.0,24.0,3.0,25.0,26.0,18.0,29.0
17,48.0,112.0,30.0,30.0,11.0,27.0,8.0,8.0,19.0,27.0,13.0
18,59.0,118.0,0.0,25.0,26.0,25.0,10.0,9.0,1.0,24.0,26.0
19,66.0,123.0,30.0,2.0,1.0,4.0,29.0,26.0,3.0,13.0,18.0
20,54.0,116.0,0.0,18.0,4.0,26.0,5.0,2.0,7.0,9.0,8.0
21,50.0,109.0,30.0,6.0,13.0,9.0,21.0,18.0,22.0,1.0,15.0
22,43.0,115.0,0.0,17.0,17.0,22.0,13.0,27.0,28.0,5.0,19.0
23,72.0,129.0,30.0,9.0,28.0,19.0,16.0,24.0,24.0,28.0,4.0
24,69.0,110.0,0.0,20.0,19.0,21.0,2.0,19.0,29.0,7.0,28.0
25,46.0,96.0,30.0,23.0,5.0,1.0,11.0,5.0,6.0,20.0,5.0
26,48.0,93.0,0.0,19.0,25.0,15.0,27.0,22.0,5.0,8.0,30.0
27,59.0,121.0,30.0,22.0,15.0,17.0,14.0,13.0,25.0,17.0,20.0
28,63.0,113.0,0.0,1.0,3.0,30.0,22.0,16.0,23.0,25.0,21.0
29,60.0,123.0,30.0,10.0,6.0,10.0,23.0,6.0,9.0,21.0,23.0
30,59.0,129.0,0.0,5.0,23.0,2.0,25.0,20.0,14.0,22.0,6.0
31,62.0,112.0,30.0,14.0,18.0,11.0,17.0,1.0,2.0,30.0,11.0
32,50.0,105.0,0.0,29.0,9.0,13.0,6.0,17.0,16.0,4.0,14.0
33,63.0,127.0,30.0,15.0,14.0,8.0,9.0,12.0,27.0,14.0,17.0
34,59.0,107.0,0.0,3.0,12.0,7.0,15.0,4.0,11.0,3.0,22.0
35,61.0,129.0,30.0,8.0,21.0,5.0,26.0,15.0,8.0,15.0,24.0
36,49.0,110.0,0.0,28.0,27.0,18.0,20.0,8.0,19.0,27.0,13.0
37,72.0,130.0,30.0,16.0,16.0,24.0,3.0,11.0,21.0,10.0,25.0
38,56.0,115.0,0.0,21.0,29.0,20.0,28.0,28.0,15.0,29.0,10.0
39,52.0,107.0,30.0,12.0,2.0,28.0,1.0,29.0,12.0,12.0,3.0
40,56.0,110.0,0.0,2.0,1.0,4.0,29.0,10.0,18.0,23.0,12.0
41,67.0,128.0,30.0,11.0,30.0,16.0,4.0,9.0,1.0,24.0,26.0
42,57.0,122.0,0.0,25.0,26.0,25.0,10.0,23.0,20.0,11.0,7.0
43,65.0,127.0,30.0,4.0,24.0,12.0,18.0,26.0,3.0,13.0,18.0
46,57.0,110.0,0.0,13.0,10.0,3.0,30.0,21.0,10.0,2.0,27.0
47,57.0,113.0,30.0,26.0,22.0,29.0,24.0,14.0,17.0,26.0,2.0
48,84.0,140.0,0.0,11.0,30.0,16.0,4.0,28.0,15.0,29.0,10.0
49,71.0,137.0,30.0,12.0,2.0,28.0,1.0,10.0,18.0,23.0,12.0
50,66.0,128.0,0.0,7.0,7.0,23.0,12.0,25.0,26.0,18.0,29.0
51,51.0,91.0,30.0,30.0,11.0,27.0,8.0,3.0,30.0,6.0,1.0
52,55.0,99.0,0.0,24.0,8.0,6.0,7.0,29.0,12.0,12.0,3.0
53,61.0,122.0,30.0,21.0,29.0,20.0,28.0,30.0,13.0,19.0,16.0
54,55.0,100.0,0.0,20.0,19.0,21.0,2.0,18.0,22.0,1.0,15.0
55,65.0,118.0,30.0,18.0,4.0,26.0,5.0,5.0,6.0,20.0,5.0
56,60.0,109.0,0.0,27.0,20.0,14.0,19.0,19.0,29.0,7.0,28.0
57,62.0,104.0,30.0,23.0,5.0,1.0,11.0,7.0,4.0,16.0,9.0
58,32.0,86.0,0.0,19.0,25.0,15.0,27.0,1.0,2.0,30.0,11.0
59,68.0,136.0,30.0,5.0,23.0,2.0,25.0,13.0,25.0,17.0,20.0
60,49.0,105.0,0.0,14.0,18.0,11.0,17.0,2.0,7.0,9.0,8.0
61,43.0,108.0,30.0,6.0,13.0,9.0,21.0,20.0,14.0,22.0,6.0
62,65.0,127.0,0.0,9.0,28.0,19.0,16.0,22.0,5.0,8.0,30.0
63,71.0,125.0,30.0,22.0,15.0,17.0,14.0,27.0,28.0,5.0,19.0
64,49.0,113.0,0.0,29.0,9.0,13.0,6.0,21.0,10.0,2.0,27.0
65,58.0,121.0,30.0,26.0,22.0,29.0,24.0,12.0,27.0,14.0,17.0
66,60.0,126.0,0.0,28.0,27.0,18.0,20.0,17.0,16.0,4.0,14.0
67,68.0,133.0,30.0,15.0,14.0,8.0,9.0,11.0,21.0,10.0,25.0
68,51.0,93.0,0.0,25.0,26.0,25.0,10.0,16.0,23.0,25.0,21.0
69,56.0,116.0,30.0,10.0,6.0,10.0,23.0,26.0,3.0,13.0,18.0
70,41.0,102.0,0.0,4.0,24.0,12.0,18.0,8.0,19.0,27.0,13.0
71,53.0,98.0,30.0,16.0,16.0,24.0,3.0,23.0,20.0,11.0,7.0
72,41.0,100.0,0.0,17.0,17.0,22.0,13.0,6.0,9.0,21.0,23.0
73,70.0,116.0,30.0,1.0,3.0,30.0,22.0,24.0,24.0,28.0,4.0
74,70.0,138.0,0.0,2.0,1.0,4.0,29.0,28.0,15.0,29.0,10.0
75,69.0,122.0,30.0,12.0,2.0,28.0,1.0,9.0,1.0,24.0,26.0
76,52.0,130.0,0.0,3.0,12.0,7.0,15.0,10.0,18.0,23.0,12.0
77,59.0,125.0,30.0,11.0,30.0,16.0,4.0,15.0,8.0,15.0,24.0
78,72.0,118.0,0.0,5.0,23.0,2.0,25.0,13.0,25.0,17.0,20.0
79,57.0,110.0,30.0,19.0,25.0,15.0,27.0,1.0,2.0,30.0,11.0
80,60.0,127.0,0.0,8.0,21.0,5.0,26.0,18.0,22.0,1.0,15.0
81,52.0,113.0,30.0,18.0,4.0,26.0,5.0,4.0,11.0,3.0,22.0
82,69.0,123.0,0.0,27.0,20.0,14.0,19.0,14.0,17.0,26.0,2.0
83,52.0,97.0,30.0,13.0,10.0,3.0,30.0,7.0,4.0,16.0,9.0
